,movieid,title,genres,Average Rating,Number of Ratings,model_score,imdbid,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,tmdbId
700,734,Getting Away With Murder (1996),Comedy,3.0,3,9.0,116405.0,Getting Away with Murder,1996,1996-04-12,Comedy,91.0,"UK, USA",English,Harvey Miller,Harvey Miller,Price,"Dan Aykroyd, Lily Tomlin, Jack Lemmon, Bonnie Hunt, Brian Kerwin, Jerry Adler, Andy Romano, Robert Fields, J.C. Quinn, Susan Forristal, Marissa Chibas, Jon Korkes, Kathleen Marshall, Jacqueline Klein, Alex Appel","A moral college ethics professor plans to kill his neighbor, a Nazi death camp commander.",,$ 197322,$ 197322,,18.0,9.0,25697.0
701,735,Cemetery Man (Dellamorte Dellamore) (1994),Comedy|Horror,3.3564356435643563,101,339.0,109592.0,Dellamorte Dellamore,1994,1994-03-25,"Comedy, Horror",105.0,"Italy, France, Germany","Italian, English",Michele Soavi,"Tiziano Sclavi, Gianni Romoli",Audifilm,"Rupert Everett, François Hadji-Lazaro, Anna Falchi, Mickey Knox, Fabiana Formica, Clive Riche, Katja Anton, Barbara Cupisti, Anton Alexander, Pietro Genuardi, Patrizia Punzo, Stefano Masciarelli, Vito Passeri, Alessandro Zamattio, Renato Donis",A cemetery man must kill the dead a second time when they become zombies.,$ 4000000,$ 253986,$ 253986,,178.0,160.0,21588.0
702,736,Twister (1996),Action|Adventure|Romance|Thriller,3.1738738738738737,1110,3522.9999999999995,117998.0,Twister,1996,1996-10-25,"Action, Adventure, Thriller",113.0,USA,English,Jan de Bont,"Michael Crichton, Anne-Marie Martin",Warner Bros.,"Helen Hunt, Bill Paxton, Cary Elwes, Jami Gertz, Philip Seymour Hoffman, Lois Smith, Alan Ruck, Sean Whalen, Scott Thomson, Todd Field, Joey Slotnick, Wendle Josepher, Jeremy Davies, Zach Grenier, Gregory Sporleder","Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes.",$ 92000000,$ 241721524,$ 494471524,68.0,442.0,119.0,664.0
703,737,Barb Wire (1996),Action|Sci-Fi,2.03,300,608.9999999999999,115624.0,Barb Wire,1996,1996-05-03,"Action, Sci-Fi",98.0,USA,"English, French, German",David Hogan,"Chris Warner, Ilene Chaiken",Polygram Filmed Entertainment,"Amir AboulEla, Adriana Alexander, David Andriole, Vanessa Lee Asher, Ron Balicki, Jennifer Banko, Candace Kita, Xander Berkeley, Tony Bill, Alex Bookston, Gil Borgos, Andre Rosey Brown, Mark Collver, Tina Cote, Vinnie Curto","During the Second American Civil War in 2017, Barb Wire owns a nightclub called the Hammerhead. Things become complicated when her ex-lover Axel Hood, who is married to the fugitive Corrina Devonshire, re-enters her life.",$ 9000000,$ 3793614,$ 3793614,40.0,106.0,89.0,11867.0
704,741,Ghost in the Shell (Kokaku kidotai) (1995),Animation|Sci-Fi,4.089171974522293,314,1284.0000000000002,113568.0,Kôkaku Kidôtai,1995,1995-11-18,"Animation, Action, Crime",83.0,"Japan, UK",Japanese,Mamoru Oshii,"Shirow Masamune, Kazunori Itô",Kôdansha,"Atsuko Tanaka, Akio Ôtsuka, Kôichi Yamadera, Yutaka Nakano, Tamio Ôki, Tesshô Genda, Namaki Masakazu, Masato Yamanouchi, Shinji Ogawa, Mitsuru Miyamoto, Kazuhiro Yamaji, Shigeru Chiba, Hiroshi Yanaka, Ginzô Matsuo, Takashi Matsuyama",A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,JPY 600000000,$ 515905,$ 515905,76.0,311.0,178.0,9323.0
705,742,Thinner (1996),Horror|Thriller,2.528735632183908,174,440.0,117894.0,Thinner,1996,1996-10-25,"Fantasy, Horror",93.0,USA,English,Tom Holland,"Stephen King, Michael McDowell",Paramount Pictures,"Robert John Burke, Lucinda Jenney, Bethany Joy Lenz, Time Winters, Howard Erskine, Joe Mantegna, Terrence Garmey, Randy Jurgensen, Jeff Ware, Antonette Schwartzberg, Terence Kava, Kari Wuhrer, Adriana Delphine, Ruth Miller, Walter Bobbie",An obese attorney is cursed by a gypsy to rapidly and uncontrollably lose weight.,$ 8500000,$ 15315484,$ 15315484,33.0,146.0,82.0,10280.0
706,743,Spy Hard (1996),Comedy,2.5700934579439254,107,275.0,117723.0,Spy Hard,1996,1996-08-23,"Action, Comedy",81.0,USA,"English, French, Spanish",Rick Friedberg,"Jason Friedberg, Aaron Seltzer",Hollywood Pictures,"Leslie Nielsen, Nicollette Sheridan, Charles Durning, Marcia Gay Harden, Barry Bostwick, John Ales, Andy Griffith, Elya Baskin, Mason Gamble, Carlos Lauchu, Stephanie Romanov, Joyce Brothers, Ray Charles, Hulk Hogan, Roger Clinton","Dick Steele, Agent WD-40 is assigned by his Director, to stop the evil General Rancor from destroying the world. WD-40 believed Rancor was dead and he teams up with the hot K.G.B. Agent Veronique Ukrinsky to find Rancor and save the world.",$ 18000000,$ 26960191,$ 26960191,25.0,93.0,28.0,10535.0
707,744,Brothers in Trouble (1995),Drama,2.0,3,6.0,112586.0,Brothers in Trouble,1995,1996-08-23,"Comedy, Drama",102.0,UK,English,Udayan Prasad,"Robert Buckler, Abdullah Hussein",BBC Films,"Om Puri, Pavan Malhotra, Angeline Ball, Ace Bhatti, Bhasker Patel, Pravesh Kumar, Badi Uzzaman, Harmage Singh Kalirai, Kumall Grewal, Marc Anwar, Pal Aron, Shiv Grewal, Lesley Clare O'Neill, Kulvinder Ghir, Riz Abbasi","Amir is an illegal Pakistani immigrant smuggled into England in the 1960's to work, to send money to his family and perhaps even bring them over with him. A skilled laborer, he is forced to...",GBP 950000,$ 8000,$ 8000,,,4.0,124613.0
708,745,"Close Shave, A (1995)",Animation|Comedy|Thriller,4.52054794520548,657,2970.0,,,,,,,,,,,,,,,,,,,,
709,746,Force of Evil (1948),Film-Noir,4.0,31,124.0,40366.0,Force of Evil,1948,1950-08-24,"Crime, Drama, Film-Noir",79.0,USA,English,Abraham Polonsky,"Abraham Polonsky, Ira Wolfert",Enterprise Productions,"John Garfield, Thomas Gomez, Marie Windsor, Howland Chamberlain, Roy Roberts, Paul Fix, Stanley Prager, Barry Kelley, Paul McVey, Beatrice Pearson","An unethical lawyer, with an older brother he wants to help, becomes a partner with a client in the numbers racket.",,$ 948000,$ 1165000,89.0,66.0,57.0,26744.0
710,747,"Stupids, The (1996)",Comedy,2.0,55,110.0,117768.0,The Stupids,1996,1996-08-30,"Adventure, Comedy",94.0,"UK, USA","English, French",John Landis,"James Marshall, Harry Allard",Imagine Entertainment,"Tom Arnold, Jessica Lundy, Bug Hall, Alex McKenna, Mark Metcalf, Matt Keeslar, Scott Kraft, Victor Ertmanis, Earl Williams, George Chiang, Max Landis, Carol Ng, Arthur Eng, Jennifer Dean, Garry Robbins","An incredibly dull-witted family unknowingly stumble upon an illegal weapons deal while on the trail of their ""stolen"" garbage.",$ 25000000,$ 2491989,$ 2491989,,91.0,18.0,16299.0
711,748,"Arrival, The (1996)",Action|Sci-Fi|Thriller,3.1510791366906474,417,1314.0,115571.0,The Arrival,1996,1996-05-31,"Sci-Fi, Thriller",115.0,"USA, Mexico",English,David Twohy,David Twohy,Live Entertainment,"Charlie Sheen, Lindsay Crouse, Richard Schiff, Shane, Ron Silver, Teri Polo, Phyllis Applegate, Alan Coates, Leon Rippy, Buddy Joe Hooker, Javier Morga, Tony T. Johnson, Catalina Botello, Georg Lillitsch, David Villalpando","Zane, an astronomer, discovers intelligent alien life. But the aliens are keeping a deadly secret, and will do anything to stop Zane from learning it.",$ 25000000,$ 14063331,$ 14063331,56.0,135.0,64.0,10547.0
712,749,"Man from Down Under, The (1943)",Drama,2.75,4,11.0,31612.0,The Man from Down Under,1943,1943-08-04,"Action, Comedy, Drama",103.0,USA,English,Robert Z. Leonard,"Bogart Rogers, Mary Kelly",Metro-Goldwyn-Mayer (MGM),"Charles Laughton, Binnie Barnes, Richard Carlson, Donna Reed, Christopher Severn, Clyde Cook, Stephen McNally, Arthur Shields, Evelyn Falke, Hobart Cavanaugh, André Charlot",A crusty old Sergeant of the Queen's Australian army in World War I befriends a small orphaned boy and his tiny sister on the night he is to go back to Australia. The Sergeant emotionally ...,,,,,6.0,2.0,245268.0
713,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War,4.4498902706656915,1367,6083.0,57012.0,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1964-04-03,Comedy,95.0,"UK, USA","English, Russian",Stanley Kubrick,"Stanley Kubrick, Terry Southern",Columbia Pictures,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn, Slim Pickens, Peter Bull, James Earl Jones, Tracy Reed, Jack Creley, Frank Berry, Robert O'Neil, Glenn Beck, Roy Stephens, Shane Rimmer, Hal Galili",An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,$ 1800000,$ 9440272,$ 9443876,97.0,950.0,237.0,935.0
714,751,Careful (1992),Comedy,3.533333333333333,15,53.0,103926.0,Careful,1992,1994-03-03,"Comedy, Drama, Romance",100.0,Canada,English,Guy Maddin,"Guy Maddin, George Toles",The Canada Council,"Gosia Dobrowolska, Kyle McCulloch, Brent Neale, Sarah Neville, Paul Cox, Victor Cowie, Michael O'Sullivan, Vince Rimmer, Katya Gardner, Jackie Burroughs, Ross McMillan, Leith Clark, Glen Hubich, Brendan Carruthers, George Toles","In the Alpine village of Tolzbad in the 1800s, the townsfolk talk quietly and restrain their movements lest they incur avalanches. This atmosphere lends itself to repressed emotions - shown...",,,,62.0,22.0,40.0,55613.0
715,753,"Month by the Lake, A (1995)",Comedy|Drama,3.15625,32,101.0,113849.0,A Month by the Lake,1995,1995-09-22,"Comedy, Drama, Romance",92.0,"UK, USA",English,John Irvin,"H.E. Bates, Trevor Bentham",Anuline,"Vanessa Redgrave, Edward Fox, Uma Thurman, Alida Valli, Carlo Cartier, Alessandro Gassmann, Natalia Bizzi, Frances Nacman, Paolo Lombardi, Riccardo Rossi, Sonia Martinelli, Veronica Wells, Carlotta Bresciani, Bianca Tognocchi, Ayanta Barilli","At a Lake Como resort, Miss Bentley, an attractive older guest, meets a handsome, well-to-do bachelor. But when he's more interested in a beautiful young flirt, the mischievous Miss Bentley goes to outrageous lengths to reel in her catch.",,$ 2101087,$ 2101087,,26.0,19.0,41007.0
716,754,Gold Diggers: The Secret of Bear Mountain (1995),Adventure|Children's,2.923076923076923,13,38.0,113188.0,Gold Diggers: The Secret of Bear Mountain,1995,1995-11-03,"Adventure, Drama, Family",94.0,"Canada, USA",English,Kevin James Dobson,Barry Glasser,Universal Pictures,"Christina Ricci, Anna Chlumsky, Polly Draper, Brian Kerwin, Diana Scarwid, David Keith, Gillian Barber, Ashleigh Aston Moore, Jewel Staite, Amy Kirk, Dwight McFee, Andrew Wheeler, Roger Cross, Kimberley Warnat, Jesse Moss","A city girl teams up with a tomboy to solve the mystery of Bear Mountain, Molly Morgan, and the buried treasure as well as learn about true friendships.",,$ 6029091,$ 6029091,,21.0,13.0,35645.0
717,755,Kim (1950),Children's|Drama,3.7777777777777777,9,34.0,42644.0,Kim,1950,1951-01-26,"Adventure, Drama, Family",113.0,USA,"English, Russian",Victor Saville,"Rudyard Kipling, Leon Gordon",Loew's,"Errol Flynn, Dean Stockwell, Paul Lukas, Robert Douglas, Thomas Gomez, Cecil Kellaway, Arnold Moss, Reginald Owen, Laurette Luez, Richard Hale, Roman Toporow, Ivan Triesault","During the British Raj, the orphan of a British soldier poses as a Hindu and is torn between his loyalty to a Buddhist mystic and aiding the English secret service.",$ 2049000,,,,38.0,10.0,110465.0
718,756,Carmen Miranda: Bananas Is My Business (1994),Documentary,3.0,4,12.0,,,,,,,,,,,,,,,,,,,,
719,757,Ashes of Time (1994),Drama,3.75,4,15.0,109688.0,Dung che sai duk,1994,1994-09-17,"Action, Drama",100.0,"Hong Kong, Taiwan","Mandarin, Cantonese",Kar-Wai Wong,"Louis Cha, Kar-Wai Wong",Jet Tone Production,"Brigitte Lin, Leslie Cheung, Maggie Cheung, Tony Chiu-Wai Leung, Jacky Cheung, Tony Ka Fai Leung, Li Bai, Carina Lau, Charlie Yeung, Joey Wang",A broken-hearted hit man moves to the desert where he finds skilled swordsmen to carry out his contract killings.,HKD 40000000,$ 174273,$ 1977198,69.0,50.0,129.0,40751.0
720,758,"Jar, The (Khomreh) (1992)",Drama,4.0,1,4.0,104606.0,Khomreh,1992,1992,"Drama, Family",82.0,Iran,Persian,Ebrahim Forouzesh,"Ebrahim Forouzesh, Houshang Moradi Kermani",Kanun parvaresh fekri,"Behzad Khodaveisi, Fatemeh Azrah, Abbas Khavaninzadeh, Hassein Balai, Alireza Haji-Ghasemi, Sakineh Mehrizi, Ramazan Moila-Abbasi, Shamsoddin Olfat, A.R. Vaziri","In the yard of an Iranian village school stands in the shade of a tree a large stoneware jar from which all the pupils drink fresh water. On an unfortunate day, the jar starts leaking. The ...",,,,,3.0,3.0,275096.0
721,759,Maya Lin: A Strong Clear Vision (1994),Documentary,4.101694915254237,59,241.99999999999997,,,,,,,,,,,,,,,,,,,,
722,760,Stalingrad (1993),War,3.515151515151515,33,116.0,108211.0,Stalingrad,1993,1993-01-21,"Drama, War",134.0,Germany,"German, Russian",Joseph Vilsmaier,"Jürgen Büscher, Johannes Heide",B.A. Produktion,"Dominique Horwitz, Thomas Kretschmann, Jochen Nickel, Sebastian Rudolph, Dana Vávrová, Martin Benrath, Sylvester Groth, Karel Hermánek, Heinz Emigholz, Ferdinand Schuster, Oliver Broumis, Dieter Okras, Zdenek Vencl, Mark Kuhn, Thorsten Bolloff","The story follows a group of German soldiers, from their Italian R&R in the summer of 1942 to the frozen steppes of Soviet Russia and ending with the battle for Stalingrad.",DEM 20000000,$ 152972,$ 152972,,163.0,31.0,11101.0
723,761,"Phantom, The (1996)",Adventure,2.7886178861788617,123,343.0,117331.0,The Phantom,1996,1996-06-07,"Action, Adventure, Comedy",100.0,"Australia, USA",English,Simon Wincer,"Lee Falk, Jeffrey Boam",Paramount Pictures,"Billy Zane, Kristy Swanson, Treat Williams, Catherine Zeta-Jones, James Remar, Cary-Hiroyuki Tagawa, Bill Smitrovich, Casey Siemaszko, David Proval, Joseph Ragno, Samantha Eggar, Jon Tenney, Patrick McGoohan, Robert Coleby, Al Ruscio","The Phantom, descendent of a line of African superheroes, travels to New York City to thwart a wealthy criminal genius from obtaining three magic skulls which would give him the secret to ultimate power.",$ 45000000,$ 17323326,$ 17323326,,172.0,77.0,9826.0
724,762,Striptease (1996),Comedy|Crime,2.184563758389262,298,651.0,117765.0,Striptease,1996,1996-09-05,"Comedy, Crime, Drama",115.0,USA,English,Andrew Bergman,"Carl Hiaasen, Andrew Bergman",Castle Rock Entertainment,"Demi Moore, Burt Reynolds, Armand Assante, Ving Rhames, Robert Patrick, Paul Guilfoyle, Jerry Grayson, Rumer Willis, Robert Stanton, William Hill, Stuart Pankin, Dina Spybey-Waters, PaSean Wilson, Pandora Peaks, Barbara Alyn Woods",A stripper and single mother gets dragged into a dangerous situation after a congressman takes a fancy to her.,$ 40000000,$ 33109743,$ 113309743,37.0,140.0,57.0,9879.0
725,763,"Last of the High Kings, The (a.k.a. Summer Fling) (1996)",Drama,3.0,1,3.0,116833.0,The Last of the High Kings,1996,1996-11-22,"Comedy, Drama",103.0,"Denmark, Ireland, UK",English,David Keating,"Gabriel Byrne, David Keating",Nordisk Film,"Catherine O'Hara, Jared Leto, Christina Ricci, Gabriel Byrne, Stephen Rea, Colm Meaney, Lorraine Pilkington, Jason Barry, Emily Mortimer, Karl Hayden, Ciarán Fitzgerald, Renee Weldon, Des Braiden, Darren Monks, Peter Keating","It is 1977, Dublin rocks to the music of Thin Lizzy and the world is stunned by the death of Elvis Presley. Frankie, caught between acne and adulthood, has just completed his final exams in...",,$ 7682,$ 7682,,22.0,11.0,63564.0
726,764,Heavy (1995),Drama|Romance,3.27027027027027,74,242.0,113280.0,Heavy,1995,1996-08-22,"Drama, Romance",105.0,USA,English,James Mangold,James Mangold,Available Light Productions,"Pruitt Taylor Vince, Shelley Winters, Liv Tyler, Debbie Harry, Joe Grifasi, Evan Dando, David Patrick Kelly, Marian Quinn, Meg Hartig, Zandy Hartig, Peter Ortel, George Alvarez, Cordis Heard, J.C. MacKenzie, Allan D'Arcangelo","The life of an overweight, unhappy cook is changed after a kind, beautiful college drop-out comes to work as a waitress at his and his mother's road-side restaurant.",,$ 941414,$ 941414,75.0,56.0,33.0,22621.0
727,765,Jack (1996),Comedy|Drama,2.6315789473684212,171,450.00000000000006,116669.0,Jack,1996,1996-10-31,"Comedy, Drama, Fantasy",113.0,USA,"English, Spanish",Francis Ford Coppola,"James DeMonaco, Gary Nadeau",Hollywood Pictures,"Robin Williams, Diane Lane, Brian Kerwin, Jennifer Lopez, Bill Cosby, Fran Drescher, Adam Zolotin, Todd Bosley, Seth Smith, Mario Yedidia, Jer Adrianne Lelliott, Jurnee Smollett, Dani Faith, Hugo Hernandez, Rickey D'Shon Collins","Because of an unusual disorder that has aged him four times faster than a typical human being, a boy looks like a 40-year-old man as he starts fifth grade at public school after being homeschooled.",$ 45000000,$ 58620973,$ 58620973,31.0,82.0,38.0,7095.0
728,766,I Shot Andy Warhol (1996),Drama,3.57,100,357.0,116594.0,I Shot Andy Warhol,1996,1996-05-01,"Biography, Drama",103.0,"UK, USA",English,Mary Harron,"Jeremiah Newton, Diane Tucker",Playhouse International Pictures,"Lili Taylor, Jared Harris, Martha Plimpton, Lothaire Bluteau, Anna Thomson, Peter Friedman, Tahnee Welch, Jamie Harrold, Donovan Leitch Jr., Michael Imperioli, Reg Rogers, Bill Sage, Jill Hennessy, Coco McPherson, Myriam Cyr","This is the story of Valerie Solanas who was a 60s radical preaching hatred toward men in her ""Scum"" manifesto. She wrote a screenplay for a film that she wanted Andy Warhol to produce. After many times of ignoring her, Valerie shot him.",,$ 1875527,$ 1875527,75.0,44.0,44.0,26890.0
729,767,"Grass Harp, The (1995)",Drama,3.2083333333333335,24,77.0,113211.0,The Grass Harp,1995,1996-10-11,"Comedy, Drama",107.0,USA,English,Charles Matthau,"Truman Capote, Stirling Silliphant",Charles Matthau-Jerry Tokofsky-John Davis Productions,"Piper Laurie, Sissy Spacek, Walter Matthau, Edward Furlong, Nell Carter, Jack Lemmon, Mary Steenburgen, Sean Patrick Flanery, Joe Don Baker, Charles Durning, Roddy McDowall, Grayson Fricke, Scott Wilson, Bonnie Bartlett, Mia Kirshner","After his mother's death, Collin Fenwick goes to live with his father's cousins, the wealthy, avaricious, and controlling Verena Talbo, and her compliant, earthy sister Dolly. When a city ...",$ 8000000,$ 559771,$ 559771,,26.0,16.0,46732.0
730,769,Marlene Dietrich: Shadow and Light (1996),Documentary,3.25,12,39.0,,,,,,,,,,,,,,,,,,,,
731,771,"Vie est belle, La (Life is Rosey) (1987)",Comedy|Drama,3.7777777777777777,18,68.0,94265.0,La vie est belle,1987,1988-06-15,"Comedy, Drama, Musical",80.0,"Belgium, France, Zaire",French,"Benoît Lamy, Mweze Ngangura","Benoît Lamy, Maryse León García",Centre du Cinéma et de l'Audiovisuel de la Fédération Wallonie-Bruxelles,"Papa Wemba, Bibi Krubwa, Landu Nzunzimbu Matshia, Kanko Kasongo, Lokinda Menji Feza, Kalimazi Lombume Riva, Mazaza Mukoko, Tumba Ayila, Mujinga Mbuji Inabanza, Bwanando Ngimbi, Pépé Kallé, Alamba Engongo, Maître Nono","Kourou comes from a village to Kinshasa, Zaire's capital and the center of World Beat; music is in his heart and he has big dreams. Right away he gets a job as a domestic for Mamou, the ...",,,,,5.0,3.0,202425.0
732,774,Wend Kuuni (God's Gift) (1982),Drama,4.0,1,4.0,84898.0,Wend Kuuni,1982,1982,Drama,75.0,Burkina Faso,More,Gaston Kaboré,,Direction du Cinema de Haute Volta,"Serge Yanogo, Rosine Yanogo, Joseph Nikiema, Colette Kaboré, Simone Tapsoba, Yaya Wima, Martine Ouedraogo, Boucare Ouedraogo, Mohammed Thiombiano, Jean Ouedraogo, Augustine Yameogo, Naba Liguidi, Bernadette Nombre, Saidou Ouedraogo, Georgette Zongo","In pre-colonial times a peddler crossing the savanna discovers a child lying unconscious in the bush. When the boy comes to, he is mute and cannot explain who he is. The peddler leaves him ...",,,,,4.0,3.0,181083.0
733,775,Spirits of the Dead (Tre Passi nel Delirio) (1968),Horror,3.2222222222222223,9,29.0,63715.0,Histoires extraordinaires,1968,1968-09-12,"Drama, Horror, Mystery",121.0,"France, Italy","French, Italian, English","Federico Fellini, Louis Malle","Edgar Allan Poe, Roger Vadim",Les Films Marceau,"Brigitte Bardot, Alain Delon, Jane Fonda, Terence Stamp, James Robertson Justice, Salvo Randone, Françoise Prévost, Peter Fonda, Marlène Alexandre, David Bresson, Katia Christine, Peter Dane, Georges Douking, Philippe Lemaire, Carla Marlier","Anthology film from three European directors based on stories by Edgar Allan Poe: a cruel princess haunted by a ghostly horse, a sadistic young man haunted by his double, and an alcoholic actor haunted by the Devil.",,,,,69.0,64.0,41225.0
734,776,Babyfever (1994),Comedy|Drama,3.0,4,12.0,109191.0,Babyfever,1994,1994-05-04,"Comedy, Drama",109.0,USA,English,"Victoria Foyt, Henry Jaglom","Victoria Foyt, Henry Jaglom",Jagtoria Films,"Victoria Foyt, Matt Salinger, Frances Fisher, Eric Roberts, Dinah Lenney, Elaine Kagan, Zack Norman, Jacki Moen, Eliza Roberts, Charlayne Woodard, Irene Cagen, Cindy Friedl, Jane Lancellotti, Deborah Skelly, Tracy Brooks Swope","Gena is an average woman who is torn between her current boyfriend's desire to marry her and start a family, and the unexpected arrival of an old boyfriend wanting to pick up where they ...",,$ 269904,,,3.0,11.0,188589.0
735,778,Trainspotting (1996),Drama,3.9600532623169107,751,2974.0,117951.0,Trainspotting,1996,1996-10-03,Drama,93.0,UK,English,Danny Boyle,"Irvine Welsh, John Hodge",Channel Four Films,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd, Robert Carlyle, Kelly Macdonald, Peter Mullan, James Cosmo, Eileen Nicholas, Susan Vidler, Pauline Lynch, Shirley Henderson, Stuart McQuarrie, Irvine Welsh, Dale Winton","Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",GBP 1500000,$ 16491080,$ 16593356,83.0,628.0,149.0,627.0
736,779,'Til There Was You (1997),Drama|Romance,2.6923076923076925,52,140.0,118523.0,'Til There Was You,1997,1998-06-12,"Romance, Comedy",113.0,USA,English,Scott Winant,Winnie Holzman,Lakeshore Entertainment,"John Plumpis, Janel Moloney, Yvonne Zima, Christine Ebersole, Kellen Fink, Karen Allen, Kale Browne, Michael Tucker, Alexandra Theriault, Kimberly Paige, Jim Jansen, Sean Bolvin, Kenneth Flores, Joette Hayward, Mary Martin","Two strangers, whose paths are always crossing, finally meet when fate steps in.",$ 1000000,$ 3525125,$ 3525125,,38.0,22.0,32872.0
737,780,Independence Day (ID4) (1996),Action|Sci-Fi|War,3.5104046242774567,1730,6073.0,116629.0,Independence Day,1996,1996-09-27,"Action, Adventure, Sci-Fi",145.0,USA,English,Roland Emmerich,"Dean Devlin, Roland Emmerich",Twentieth Century Fox,"Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell, Judd Hirsch, Robert Loggia, Randy Quaid, Margaret Colin, James Rebhorn, Harvey Fierstein, Adam Baldwin, Brent Spiner, James Duval, Vivica A. Fox, Lisa Jakub","The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.",$ 75000000,$ 306169268,$ 817400891,59.0,946.0,201.0,602.0
738,781,Stealing Beauty (1996),Drama,3.378640776699029,103,348.0,117737.0,Stealing Beauty,1996,1996-03-29,"Drama, Mystery, Romance",118.0,"Italy, France, UK","English, French, German, Spanish, Italian",Bernardo Bertolucci,"Bernardo Bertolucci, Susan Minot",Fiction,"Carlo Cecchi, Sinéad Cusack, Joseph Fiennes, Jason Flemyng, Anna Maria Gherardi, Jeremy Irons, Jean Marais, Donal McCann, D.W. Moffett, Ignazio Oliva, Stefania Sandrelli, Francesco Siciliano, Mary Jo Sorgani, Leonardo Treviglio, Liv Tyler","After her mother commits suicide, a young woman travels to Italy in search of love, truth and a deeper connection with herself.",$ 10000000,$ 4722310,$ 4762310,60.0,90.0,39.0,14553.0
739,782,"Fan, The (1996)",Thriller,2.5517241379310347,145,370.00000000000006,116277.0,The Fan,1996,1996-10-04,"Action, Drama, Sport",116.0,USA,"English, Spanish",Tony Scott,"Peter Abrahams, Phoef Sutton",TriStar Pictures,"Robert De Niro, Wesley Snipes, Ellen Barkin, John Leguizamo, Benicio Del Toro, Patti D'Arbanville, Chris Mulkey, Andrew J. Ferchland, Brandon Hammond, Charles Hallahan, Dan Butler, Kurt Fuller, Michael Jace, Frank Medrano, Don S. Davis",An all star baseball player becomes the unhealthy focus of a down on his luck salesman.,$ 55000000,$ 18626419,$ 18626419,32.0,102.0,58.0,9566.0
740,783,"Hunchback of Notre Dame, The (1996)",Animation|Children's|Musical,3.223076923076923,390,1257.0,116583.0,The Hunchback of Notre Dame,1996,1996-12-06,"Animation, Drama, Family",91.0,"USA, France","English, Latin","Gary Trousdale, Kirk Wise","Tab Murphy, Victor Hugo",Walt Disney Animation Studios,"Jason Alexander, Mary Kay Bergman, Corey Burton, Jim Cummings, Bill Fagerbakke, Tom Hulce, Tony Jay, Paul Kandel, Charles Kimbrough, Kevin Kline, Heidi Mollenhauer, Demi Moore, Patrick Pinney, Gary Trousdale, David Ogden Stiers","A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer.",$ 100000000,$ 100138851,$ 325338851,74.0,283.0,88.0,10545.0
741,784,"Cable Guy, The (1996)",Comedy,2.72987012987013,385,1051.0,115798.0,The Cable Guy,1996,1996-09-05,"Comedy, Drama, Thriller",96.0,USA,"English, French",Ben Stiller,Lou Holtz Jr.,Columbia Pictures,"Jim Carrey, Matthew Broderick, Leslie Mann, Jack Black, George Segal, Diane Baker, Ben Stiller, Eric Roberts, Janeane Garofalo, Andy Dick, Harry O'Reilly, David Cross, Amy Stiller, Owen Wilson, Keith Gibbs","A lonely and mentally disturbed cable guy raised on television just wants a new friend, but his target, a designer, rejects him, with bad consequences.",$ 47000000,$ 60240295,$ 102825796,56.0,393.0,69.0,9894.0
742,785,Kingpin (1996),Comedy,3.4784313725490197,765,2661.0,116778.0,Kingpin,1996,1996-07-26,"Comedy, Sport",114.0,USA,English,"Bobby Farrelly, Peter Farrelly","Barry Fanaro, Mort Nathan",Rysher Entertainment,"Woody Harrelson, Randy Quaid, Vanessa Angel, Bill Murray, Chris Elliott, William Jordan, Richard Tyson, Lin Shaye, Zen Gesner, Prudence Wright Holmes, Rob Moran, Daniel Greene, Will Rothhaar, Mark Charpentier, Brad Faxon","A star bowler whose career was prematurely ""cut off"" hopes to ride a new prodigy to success and riches.",$ 27000000,$ 25023434,$ 25023434,43.0,212.0,67.0,11543.0
743,786,Eraser (1996),Action|Thriller,3.123913043478261,460,1437.0,116213.0,Eraser,1996,1996-10-11,"Action, Drama, Thriller",115.0,USA,English,Chuck Russell,"Tony Puryear, Walon Green",Kopelson Entertainment,"Arnold Schwarzenegger, James Caan, Vanessa Williams, James Coburn, Robert Pastorelli, James Cromwell, Danny Nucci, Andy Romano, Nick Chinlund, Michael Papajohn, Joe Viterelli, Mark Rolston, John Slattery, Robert Miranda, Roma Maffia",A Witness Protection specialist becomes suspicious of his co-workers when dealing with a case involving high-tech weapons.,$ 100000000,$ 101295562,$ 242295562,56.0,149.0,78.0,9268.0
